City,Outlet Name,URL,Notes
"Acworth, GA",Acworth Patch,http://patch.com/georgia/acworth,
"Alton, IL",AdVantage News,http://advantagenews.com/,
"Alton, IL",Alton Telegraph,http://thetelegraph.com/,
"Alton, IL",Alton Daily News,http://www.altondailynews.com/,
"Alton, IL",Riverbender.com,http://www.riverbender.com/,
"Alton, IL",WBGZ AM 1570,http://www.wbgzradio.com/,
"Ann Arbor, MI",Ann Arbor Observer,http://annarborobserver.com/articles/front_page.html,
"Ann Arbor, MI",WEGV-LP FM 102.3,http://goodvibe.fm/,No alternative URL. No news on site though
"Ann Arbor, MI",MGoBlog,http://mgoblog.com/,
"Ann Arbor, MI",WUOM FM 91.7,http://michiganradio.org/#stream/0,
"Ann Arbor, MI",Native American Netroots,http://nativeamericannetroots.net/,
"Ann Arbor, MI",Vacuum weblog for Edward Vielmetti,http://vielmetti.github.io/,
"Ann Arbor, MI",WLBY AM 1290,http://www.1290wlby.com/,
"Ann Arbor, MI",A2Politico,http://www.a2politico.com/,
"Ann Arbor, MI",Ann Arbor Business Review Magazine,http://www.annarborbusinessmagazine.com/,
"Ann Arbor, MI",WQKL FM 107.1,http://www.annarbors107one.com/,
"Ann Arbor, MI",Community Television Network,http://www.ctnannarborblog.org/,
"Ann Arbor, MI",Damn Arbor,http://www.damnarbor.com/,
"Ann Arbor, MI",Ann Arbor News (redirects from AnnArbor.com),http://www.mlive.com/ann-arbor/,
"Ann Arbor, MI",Between the Lines (known as PrideSource online),http://www.pridesource.com/,
"Ann Arbor, MI",WFHD TV 27,http://www.tct.tv/,
"Ann Arbor, MI",Ann Arbor Jounral (A2) (now named The News Herald?),http://www.thenewsherald.com/,
"Ann Arbor, MI",WWWW FM 102.9,http://www.w4country.com/,
"Ann Arbor, MI",WAAM AM 1600,http://www.waamradio.com/,
"Ann Arbor, MI",WCBN-FM 88.3,http://www.wcbn.org/,
"Ann Arbor, MI",WTKA AM 1050,http://www.wtka.com/,
"Ann Arbor, MI",WDEO AM 990,https://avemariaradio.net/wdeo-990-am/,
"Ann Arbor, MI",Local in Ann Arbor,https://localinannarbor.com/,
"Ann Arbor, MI",Michigan Daily,https://www.michigandaily.com/,
"Antioch, CA",Antioch Herald,http://antiochherald.com/,
"Antioch, CA",East County Today,http://eastcountytoday.net/,
"Antioch, CA",KITS-FM4,http://live105.cbslocal.com/,
"Antioch, CA",East County Times,http://www.eastbaytimes.com/east-county-times,
"Antioch, CA",Antioch Press,http://www.thepress.net/,
"Apple Valley, CA",K246CL 97.1 FM,http://amp.cbslocal.com/,
"Apple Valley, CA",KWRN AM 1550,http://kwrn1550am.com/,
"Apple Valley, CA",Apple Valley Review,http://www.applevalley-review.com/,
